rut_origen,dv_origen,banco_origen,cuenta_origen,rut_destino,dv_destino,banco_destino,cuenta_destino,monto_transf,tipo_transf,fecha_transferencia,hora_transferencia,comentario
8214804,4,Banco Santander,55843600,11111111,K,Banco Estado,99900011111111,118257,TEF,2023-10-16,14:00:00,Pago cuota
14826880,7,Banco de Chile,97809327,11111111,K,Banco Estado,99900011111111,92853,TEF,2023-10-29,00:00:00,Pago cuota
14090185,K,Itau,60632079,11111111,K,Banco Estado,99900011111111,110705,TEF,2023-10-06,07:00:00,Pago cuota
19990990,5,Itau,52308876,11111111,K,Banco Estado,99900011111111,132972,TEF,2023-11-28,16:00:00,Pago cuota
24928352,0,Banco BCI,73310077,11111111,K,Banco Estado,99900011111111,95774,TEF,2023-10-27,08:00:00,Pago cuota
5149447,1,Banco de Chile,24070953,11111111,K,Banco Estado,99900011111111,83426,TEF,2023-11-22,21:00:00,Pago cuota
6966280,2,Banco BCI,97604634,11111111,K,Banco Estado,99900011111111,83667,TEF,2023-10-09,18:00:00,Pago cuota
18085877,3,Banco Santander,21874455,11111111,K,Banco Estado,99900011111111,127513,TEF,2023-11-20,13:00:00,Pago cuota
12488156,9,Itau,59237711,11111111,K,Banco Estado,99900011111111,130698,TEF,2023-11-03,12:00:00,Pago cuota
21510757,6,Banco de Chile,75608539,11111111,K,Banco Estado,99900011111111,126929,TEF,2023-11-15,03:00:00,Pago cuota
22131396,3,Scotiabank,83547980,11111111,K,Banco Estado,99900011111111,91360,TEF,2023-11-10,21:00:00,Pago cuota
5652977,0,Banco BCI,56687830,11111111,K,Banco Estado,99900011111111,91697,TEF,2023-10-24,15:00:00,Pago cuota
10656359,4,Itau,43584318,11111111,K,Banco Estado,99900011111111,147882,TEF,2023-10-14,09:00:00,Pago cuota
12940493,K,Banco BCI,11084683,11111111,K,Banco Estado,99900011111111,92428,TEF,2023-11-17,16:00:00,Pago cuota
21078039,8,Scotiabank,31413264,11111111,K,Banco Estado,99900011111111,103240,TEF,2023-11-14,04:00:00,Pago cuota
16530560,7,Itau,28098116,11111111,K,Banco Estado,99900011111111,139789,TEF,2023-10-04,04:00:00,Pago cuota
2453468,K,Banco de Chile,37388214,11111111,K,Banco Estado,99900011111111,134985,TEF,2023-11-08,21:00:00,Pago cuota
9494949,0,Banco Estado,35313766,11111111,K,Banco Estado,99900011111111,96676,TEF,2023-11-12,08:00:00,Pago cuota
6995536,4,Itau,19271039,11111111,K,Banco Estado,99900011111111,148520,TEF,2023-10-20,14:00:00,Pago cuota
4838080,4,Banco Estado,66586327,11111111,K,Banco Estado,99900011111111,115088,TEF,2023-10-06,01:00:00,Pago cuota
13102548,6,Banco de Chile,10288994,11111111,K,Banco Estado,99900011111111,142324,TEF,2023-11-05,22:00:00,Pago cuota
22390837,7,Banco Estado,52278172,11111111,K,Banco Estado,99900011111111,129607,TEF,2023-11-07,06:00:00,Pago cuota
22235034,K,Banco de Chile,78656685,11111111,K,Banco Estado,99900011111111,88673,TEF,2023-11-25,12:00:00,Pago cuota
9817757,K,Scotiabank,42988731,11111111,K,Banco Estado,99900011111111,114455,TEF,2023-11-13,04:00:00,Pago cuota
13270718,7,Banco Santander,17947817,11111111,K,Banco Estado,99900011111111,140569,TEF,2023-10-11,15:00:00,Pago cuota
21386671,9,Banco BCI,79423908,11111111,K,Banco Estado,99900011111111,87036,TEF,2023-10-16,13:00:00,Pago cuota
24012224,2,Banco de Chile,51253290,11111111,K,Banco Estado,99900011111111,119547,TEF,2023-11-09,13:00:00,Pago cuota
11224684,9,Banco Estado,25544988,11111111,K,Banco Estado,99900011111111,108691,TEF,2023-10-09,06:00:00,Pago cuota
6791079,4,Banco BCI,88784145,11111111,K,Banco Estado,99900011111111,102312,TEF,2023-10-04,02:00:00,Pago cuota
13011018,9,Banco de Chile,79856741,11111111,K,Banco Estado,99900011111111,148656,TEF,2023-11-26,08:00:00,Pago cuota
22222222,K,Itau,99900022222222,1956158,2,Itau,97062308,5000000,TEF,2023-10-30,05:00:00,Inversión inicial
1956158,2,Itau,97062308,23704928,7,Banco Estado,89372519,4950000,TEF,2023-11-01,18:00:00,Pago proveedor
23704928,7,Banco Estado,89372519,33333333,K,Banco BCI,99900033333333,4900000,TEF,2023-10-18,08:00:00,Servicios profesionales
33333333,K,Banco BCI,99900033333333,22222222,K,Itau,99900022222222,4800000,TEF,2023-10-18,13:00:00,Retorno
33333333,K,Banco BCI,99900033333333,22222222,K,Itau,99900022222222,5425734,TEF,2023-10-08,10:00:00,Traspaso fondos
88888888,K,Banco Estado,99900088888888,77777777,K,Banco Santander,99900077777777,5517020,TEF,2023-10-03,21:00:00,Traspaso fondos
11111111,K,Banco Estado,99900011111111,66666666,K,Itau,99900066666666,4918427,TEF,2023-10-27,08:00:00,Traspaso fondos
33333333,K,Banco BCI,99900033333333,88888888,K,Banco Estado,99900088888888,5601381,TEF,2023-11-22,20:00:00,Traspaso fondos
66666666,K,Itau,99900066666666,22222222,K,Itau,99900022222222,4683514,TEF,2023-10-14,04:00:00,Traspaso fondos
11111111,K,Banco Estado,99900011111111,88888888,K,Banco Estado,99900088888888,3117500,TEF,2023-11-29,10:00:00,Traspaso fondos
77777777,K,Banco Santander,99900077777777,55555555,K,Banco BCI,99900055555555,2008680,TEF,2023-11-22,17:00:00,Traspaso fondos
44444444,K,Banco Santander,99900044444444,55555555,K,Banco BCI,99900055555555,7223704,TEF,2023-11-09,20:00:00,Traspaso fondos
33333333,K,Banco BCI,99900033333333,55555555,K,Banco BCI,99900055555555,7441375,TEF,2023-11-20,06:00:00,Traspaso fondos
33333333,K,Banco BCI,99900033333333,77777777,K,Banco Santander,99900077777777,2281623,TEF,2023-10-14,14:00:00,Traspaso fondos
66666666,K,Itau,99900066666666,33333333,K,Banco BCI,99900033333333,7079092,TEF,2023-10-15,23:00:00,Traspaso fondos
77777777,K,Banco Santander,99900077777777,66666666,K,Itau,99900066666666,4970917,TEF,2023-11-03,19:00:00,Traspaso fondos
12538761,5,Banco Estado,75284373,3848595,0,Banco de Chile,34661094,178663,TEF,2023-10-27,06:00:00,Pago
3838738,1,Banco de Chile,69697353,11906961,9,Banco Estado,58333053,171621,TEF,2023-11-16,18:00:00,Remuneración
4038682,1,Banco BCI,24011426,21055078,K,Banco BCI,71237032,115766,TEF,2023-10-04,06:00:00,Préstamo
16059938,1,Itau,96180239,22832748,5,Scotiabank,74293978,112992,TEF,2023-10-23,13:00:00,Préstamo
3049105,6,Itau,10238226,8613958,7,Banco de Chile,31804209,40532,TEF,2023-10-18,06:00:00,Honorarios
19739397,0,Banco Estado,55766488,14747374,1,Banco BCI,23625069,16826,TEF,2023-10-20,06:00:00,Abono
4182737,5,Itau,83183968,14802486,1,Banco Estado,42039639,20681,TEF,2023-10-06,04:00:00,Préstamo
23287764,3,Banco BCI,22590389,11115920,0,Banco de Chile,95079305,147024,TEF,2023-11-04,06:00:00,Servicios
2821467,8,Banco BCI,47604765,12557256,2,Banco Santander,71391623,41844,TEF,2023-10-15,15:00:00,Pago
19089995,9,Scotiabank,83151371,10850596,0,Banco de Chile,52679434,180145,TEF,2023-10-08,10:00:00,Abono
23693241,2,Banco Estado,72050977,13711500,0,Banco BCI,29192776,88380,TEF,2023-11-15,23:00:00,Honorarios
9476133,5,Banco de Chile,23948885,12876345,0,Scotiabank,85945032,204972,TEF,2023-11-06,01:00:00,Abono
11718886,5,Itau,17351384,9073944,4,Itau,51786118,249139,TEF,2023-11-08,03:00:00,Servicios
12478927,4,Banco de Chile,90185883,22634624,9,Banco BCI,34642315,20908,TEF,2023-11-08,22:00:00,Remuneración
21848740,K,Banco de Chile,73846710,24109709,K,Banco BCI,69594654,206419,TEF,2023-10-17,17:00:00,Honorarios
22695291,8,Scotiabank,48038689,20055140,K,Banco BCI,24805454,13370,TEF,2023-10-22,21:00:00,Honorarios
22871807,8,Banco Santander,74072616,16596318,6,Scotiabank,52706868,58598,TEF,2023-10-11,13:00:00,Varios
17025439,5,Banco de Chile,44827984,20895443,0,Banco BCI,19783413,169674,TEF,2023-10-30,06:00:00,Servicios
17387560,0,Banco BCI,35953575,7970330,8,Banco Santander,96030241,106203,TEF,2023-10-19,15:00:00,Préstamo
22728486,5,Banco Estado,32168126,7201332,4,Banco Estado,10148781,123295,TEF,2023-10-18,09:00:00,Honorarios
24616359,8,Banco Estado,51965962,21640788,K,Banco BCI,28057180,101928,TEF,2023-10-27,05:00:00,Honorarios
5392068,6,Scotiabank,48758205,22594294,7,Itau,88073534,96646,TEF,2023-11-22,18:00:00,Remuneración
20895443,0,Banco BCI,19783413,13240558,7,Banco Santander,91541403,116959,TEF,2023-10-18,20:00:00,Varios
8111160,4,Itau,39838268,17215180,9,Banco de Chile,56072157,45414,TEF,2023-10-11,22:00:00,Pago
9352937,8,Scotiabank,67051633,12394253,3,Banco BCI,62133938,104380,TEF,2023-10-07,07:00:00,Abono
6437923,5,Banco Santander,32529555,18636101,4,Itau,75112835,25094,TEF,2023-10-03,06:00:00,Pago
22897150,5,Banco BCI,67700194,13888670,4,Banco Estado,89944338,218872,TEF,2023-11-11,08:00:00,Pago
5031341,7,Banco de Chile,24535951,6026766,3,Banco Santander,98495084,129892,TEF,2023-11-27,23:00:00,Devolución
13302644,5,Itau,87069793,11881554,5,Banco Estado,90529067,176148,TEF,2023-10-02,11:00:00,Préstamo
24583644,2,Scotiabank,38784338,3310365,4,Banco Estado,82416274,232707,TEF,2023-10-22,18:00:00,Pago
17237191,5,Banco Estado,36154065,5453797,0,Scotiabank,48125149,162009,TEF,2023-11-17,15:00:00,Remuneración
12901911,9,Banco Estado,58716752,14207063,6,Scotiabank,39517836,82194,TEF,2023-10-26,00:00:00,Abono
9581614,6,Banco de Chile,10125199,14768772,K,Itau,99427035,98555,TEF,2023-10-25,11:00:00,Pago
5150524,7,Scotiabank,47297585,22757917,9,Banco Estado,25393070,154825,TEF,2023-11-28,03:00:00,Devolución
11861868,1,Banco BCI,49265553,10174869,K,Banco BCI,90572128,48910,TEF,2023-11-05,05:00:00,Honorarios
24416288,0,Banco de Chile,82785269,16207005,8,Itau,83747723,199937,TEF,2023-10-08,19:00:00,Varios
19853866,3,Banco de Chile,76028521,18218597,8,Banco Santander,83886328,116800,TEF,2023-10-29,17:00:00,Servicios
1956158,2,Itau,97062308,9818338,6,Itau,99161765,169597,TEF,2023-11-16,20:00:00,Varios
6437923,5,Banco Santander,32529555,13493751,2,Banco Estado,46640156,221724,TEF,2023-10-05,00:00:00,Honorarios
16609416,5,Banco de Chile,57779052,1873420,5,Banco BCI,35305966,21040,TEF,2023-10-15,10:00:00,Devolución
19987140,7,Banco BCI,54137766,21113702,3,Scotiabank,89044123,66026,TEF,2023-11-21,02:00:00,Abono
4696575,0,Itau,65859397,16609416,5,Banco de Chile,57779052,156296,TEF,2023-10-03,04:00:00,Honorarios
18410018,1,Banco BCI,65516048,11454493,3,Banco Estado,32653872,121661,TEF,2023-10-18,07:00:00,Servicios
11542404,K,Itau,19111368,18493273,6,Banco BCI,55343623,217386,TEF,2023-11-01,01:00:00,Servicios
9440933,K,Itau,36502887,5749529,K,Banco Estado,52383648,188926,TEF,2023-10-15,02:00:00,Préstamo
19040698,K,Scotiabank,60846738,10006010,3,Itau,57395580,96913,TEF,2023-10-05,07:00:00,Varios
19808258,0,Itau,97553448,17289340,2,Banco de Chile,42535686,235456,TEF,2023-10-05,16:00:00,Remuneración
